input,executionTime
0,0.00000286
1,0.00000119
2,0.00077271
3,0.00000119
4,0.00118303
5,0.00000095
6,0.00164080
7,0.00000095
8,0.00200295
9,0.00000119
10,0.00242805
11,0.00000191
12,0.00300002
13,0.00000095
14,0.00348282
15,0.00000191
16,0.00396371
17,0.00000095
18,0.00443387
19,0.00000119
20,0.00484419
21,0.00000191
22,0.00529408
23,0.00000119
24,0.00650883
25,0.00000095
26,0.00778508
27,0.00000095
28,0.00851464
29,0.00000215
30,0.01046896
31,0.00000191
32,0.01250792
33,0.00000215
34,0.01338983
35,0.00000191
36,0.01416898
37,0.00000191
38,0.01484609
39,0.00000215
40,0.01600409
41,0.00000191
42,0.01761794
43,0.00000095
44,0.03158021
45,0.00000215
46,0.03238869
47,0.00000167
48,0.03416276
49,0.00000310
50,0.03465390
51,0.00000310
52,0.03536510
53,0.00000215
54,0.03647900
55,0.00000215
56,0.03861618
57,0.00000215
58,0.03982306
59,0.00000286
60,0.04063940
61,0.00000167
62,0.04164004
63,0.00000310
64,0.04594779
65,0.00000215
66,0.04817605
67,0.00000119
68,0.04899502
69,0.00000215
70,0.05222917
71,0.00000215
72,0.05313325
73,0.00000215
74,0.05488300
75,0.00000191
76,0.05552983
77,0.00000310
78,0.05696321
79,0.00000310
80,0.05791616
81,0.00000191
82,0.05875611
83,0.00000215
84,0.06400204
85,0.00000167
86,0.06507492
87,0.00000167
88,0.06756496
89,0.00000286
90,0.06862187
91,0.00000286
92,0.07060671
93,0.00000191
94,0.07217622
95,0.00000310
96,0.07263684
97,0.00000286
98,0.07444906
99,0.00000310
100,0.08080602
